source,target,distance
arad,zerind,75
arad,timisoara,118
arad,sibiu,140
bucharest,giurgiu,90
bucharest,urziceni,85
bucharest,fagaras,211
bucharest,pitesti,101
craiova,pitesti,138
craiova,rimnicu vilcea,146
craiova,dobreta,120
dobreta,craiova,120
dobreta,mehadia,75
eforie,hirsova,86
fagaras,bucharest,211
fagaras,sibiu,99
giurgiu,bucharest,90
hirsova,eforie,86
hirsova,urziceni,98
lasi,neamt,87
lasi,vaslui,92
lugoj,mehadia,70
lugoj,timisoara,111
mehadia,lugoj,70
mehadia,dobreta,75
neamt,lasi,87
oradea,zerind,71
oradea,sibiu,151
pitesti,rimnicu vilcea,97
pitesti,craiova,138
pitesti,bucharest,101
rimnicu vilcea,pitesti,97
rimnicu vilcea,craiova,146
rimnicu vilcea,sibiu,80
sibiu,oradea,151
sibiu,rimnicu vilcea,80
sibiu,fagaras,99
timisoara,arad,118
timisoara,lugoj,111
urziceni,bucharest,85
urziceni,hirsova,98
urziceni,vaslui,142
vaslui,urziceni,142
vaslui,lasi,92
zerind,oradea,71
zerind,arad,75
